AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_provider	DATASTORE_region	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	collection_date	host	source_name	strain	type_material	Assay_Type	Consent	DATASTORE_filetype	LibrarySource
36	PRJNA235970	SAMN02592882		SUZUKA NATIONAL COLLEGE OF TECHNOLOGY	sra-sos	sra-sos.public	SRX443298	0	Illumina Genome Analyzer	SINGLE	cDNA		2014-01-22	641	518	[Candida] glabrata	ILLUMINA	2015-01-22	SRR1135418	SRS539425	SRP035574	cgla_ypd	2008-04-28					RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA261678	SAMN03075441		GEO	ncbi		SRX707638	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-09-22	2113	1333	[Candida] glabrata	ILLUMINA	2015-01-27	SRR1582640	SRS706788	SRP047370	GSM1509322			whole organism	ATCC 2001	type material of Candida glabrata	RNA-Seq	public	sra	TRANSCRIPTOMIC
50	PRJNA261678	SAMN03075442		GEO	ncbi		SRX707639	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-09-22	2019	1222	[Candida] glabrata	ILLUMINA	2015-01-27	SRR1582641	SRS706790	SRP047370	GSM1509323			whole organism	ATCC 2001	type material of Candida glabrata	RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA261678	SAMN03075443		GEO	ncbi		SRX707640	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-09-22	1454	909	[Candida] glabrata	ILLUMINA	2015-01-27	SRR1582642	SRS706789	SRP047370	GSM1509324			whole organism	ATCC 2001	type material of Candida glabrata	RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA261678	SAMN03075444		GEO	ncbi		SRX707641	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-09-22	1732	1085	[Candida] glabrata	ILLUMINA	2015-01-27	SRR1582643	SRS706791	SRP047370	GSM1509325			whole organism	ATCC 2001	type material of Candida glabrata	RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA261678	SAMN03075445		GEO	ncbi		SRX707642	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-09-22	1555	973	[Candida] glabrata	ILLUMINA	2015-01-27	SRR1582644	SRS706792	SRP047370	GSM1509326			whole organism	ATCC 2001	type material of Candida glabrata	RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA261678	SAMN03075446		GEO	ncbi		SRX707643	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-09-22	1604	1004	[Candida] glabrata	ILLUMINA	2015-01-27	SRR1582645	SRS706793	SRP047370	GSM1509327			whole organism	ATCC 2001	type material of Candida glabrata	RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA261678	SAMN03075447		GEO	ncbi		SRX707644	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-09-22	1709	1072	[Candida] glabrata	ILLUMINA	2015-01-27	SRR1582646	SRS706794	SRP047370	GSM1509328			whole organism	ATCC 2001	type material of Candida glabrata	RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA261678	SAMN03075448		GEO	ncbi		SRX707645	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-09-22	1371	854	[Candida] glabrata	ILLUMINA	2015-01-27	SRR1582647	SRS706795	SRP047370	GSM1509329			whole organism	ATCC 2001	type material of Candida glabrata	RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA261678	SAMN03075449		GEO	ncbi		SRX707646	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-09-22	1703	1058	[Candida] glabrata	ILLUMINA	2015-01-27	SRR1582648	SRS706796	SRP047370	GSM1509330			whole organism	ATCC 2001	type material of Candida glabrata	RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA261678	SAMN03075450		GEO	ncbi		SRX707647	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-09-22	1326	828	[Candida] glabrata	ILLUMINA	2015-01-27	SRR1582649	SRS706797	SRP047370	GSM1509331			whole organism	ATCC 2001	type material of Candida glabrata	RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA261678	SAMN03075451		GEO	ncbi		SRX707648	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-09-22	1083	676	[Candida] glabrata	ILLUMINA	2015-01-27	SRR1582650	SRS706798	SRP047370	GSM1509332			whole organism	ATCC 2001	type material of Candida glabrata	RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA261678	SAMN03075452		GEO	ncbi		SRX707649	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-09-22	1702	1070	[Candida] glabrata	ILLUMINA	2015-01-27	SRR1582651	SRS706799	SRP047370	GSM1509333			whole organism	ATCC 2001	type material of Candida glabrata	RNA-Seq	public	sra	TRANSCRIPTOMIC
101	PRJNA261678	SAMN03075453		GEO	ncbi		SRX707650	0	Illumina HiSeq 2000	SINGLE	cDNA		2014-09-22	1691	1286	[Candida] glabrata	ILLUMINA	2015-01-27	SRR1582652	SRS706800	SRP047370	GSM1509334			whole organism	ATCC 2001	type material of Candida glabrata	RNA-Seq	public	sra	TRANSCRIPTOMIC
101	PRJNA261678	SAMN03075454		GEO	ncbi		SRX707651	0	Illumina HiSeq 2000	SINGLE	cDNA		2014-09-22	1499	1142	[Candida] glabrata	ILLUMINA	2015-01-27	SRR1582653	SRS706801	SRP047370	GSM1509335			whole organism	ATCC 2001	type material of Candida glabrata	RNA-Seq	public	sra	TRANSCRIPTOMIC
101	PRJNA261678	SAMN03075455		GEO	ncbi		SRX707652	0	Illumina HiSeq 2000	SINGLE	cDNA		2014-09-22	1189	840	[Candida] glabrata	ILLUMINA	2015-01-27	SRR1582654	SRS706802	SRP047370	GSM1509336			whole organism	ATCC 2001	type material of Candida glabrata	RNA-Seq	public	sra	TRANSCRIPTOMIC
101	PRJNA261678	SAMN03075456		GEO	ncbi		SRX707653	0	Illumina HiSeq 2000	SINGLE	cDNA		2014-09-22	1302	918	[Candida] glabrata	ILLUMINA	2015-01-27	SRR1582655	SRS706803	SRP047370	GSM1509337			whole organism	ATCC 2001	type material of Candida glabrata	RNA-Seq	public	sra	TRANSCRIPTOMIC
201	PRJNA273804	SAMN03384153	Pathogen.cl	JIANGNAN UNIVERSITY	ncbi		SRX896740	0	Illumina HiSeq 2500	PAIRED	RT-PCR	RNAseq of Candida glabrata under acidic conditions	2015-03-11	4503	2729	[Candida] glabrata	ILLUMINA	2015-03-11	SRR1825711	SRS862532	SRP055793	T1	2014-07-31	Homo sapiens		Candida glabrata ATCC 2001		RNA-Seq	public	sra	TRANSCRIPTOMIC
201	PRJNA273804	SAMN03384154	Pathogen.cl	JIANGNAN UNIVERSITY	ncbi		SRX952137	0	Illumina HiSeq 2500	PAIRED	RT-PCR	RNAseq of Candida glabrata under acidic conditions	2015-03-11	4472	2742	[Candida] glabrata	ILLUMINA	2015-03-11	SRR1910441	SRS862541	SRP055793	T2	2014-07-31	Homo sapiens		Candida glabrata ATCC 2001		RNA-Seq	public	sra	TRANSCRIPTOMIC
201	PRJNA273804	SAMN03384155	Pathogen.cl	JIANGNAN UNIVERSITY	ncbi		SRX952138	0	Illumina HiSeq 2500	PAIRED	RT-PCR	RNAseq of Candida glabrata under acidic conditions	2015-03-11	4401	2704	[Candida] glabrata	ILLUMINA	2015-03-11	SRR1910442	SRS862542	SRP055793	T3	2014-07-31	Homo sapiens		Candida glabrata gene CgASG1 deletion strain		RNA-Seq	public	sra	TRANSCRIPTOMIC
201	PRJNA273804	SAMN03384156	Pathogen.cl	JIANGNAN UNIVERSITY	ncbi		SRX952139	0	Illumina HiSeq 2500	PAIRED	RT-PCR	RNAseq of Candida glabrata under acidic conditions	2015-03-11	4358	2694	[Candida] glabrata	ILLUMINA	2015-03-11	SRR1910443	SRS862543	SRP055793	T4	2014-07-31	Homo sapiens		Candida glabrata gene CgASG1 deletion strain		RNA-Seq	public	sra	TRANSCRIPTOMIC
201	PRJNA273804	SAMN03384157	Pathogen.cl	JIANGNAN UNIVERSITY	ncbi		SRX952140	0	Illumina HiSeq 2500	PAIRED	RT-PCR	RNAseq of Candida glabrata under acidic conditions	2015-03-11	4445	2734	[Candida] glabrata	ILLUMINA	2015-03-11	SRR1910444	SRS862544	SRP055793	T5	2014-07-31	Homo sapiens		Candida glabrata gene CgHAL9 deletion strain		RNA-Seq	public	sra	TRANSCRIPTOMIC
201	PRJNA273804	SAMN03384158	Pathogen.cl	JIANGNAN UNIVERSITY	ncbi		SRX952141	0	Illumina HiSeq 2500	PAIRED	RT-PCR	RNAseq of Candida glabrata under acidic conditions	2015-03-11	4612	2808	[Candida] glabrata	ILLUMINA	2015-03-11	SRR1910445	SRS862545	SRP055793	T6	2014-07-31	Homo sapiens		Candida glabrata gene CgHAL9 deletion strain		RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA299815	SAMN04216026		GEO	sra-sos	sra-sos.public	SRX1383989	0	Illumina HiSeq 2500	PAIRED	cDNA		2015-10-26	1109	745	[Candida] glabrata	ILLUMINA	2015-12-15	SRR2817430	SRS1134727	SRP065276	GSM1918921			C. glabrata RNA	SFY114		RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA299815	SAMN04216027		GEO	sra-sos	sra-sos.public	SRX1383990	0	Illumina HiSeq 2500	PAIRED	cDNA		2015-10-26	1769	1230	[Candida] glabrata	ILLUMINA	2015-12-15	SRR2817431	SRS1134726	SRP065276	GSM1918922			C. glabrata RNA	SFY114		RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA299815	SAMN04216028		GEO	ncbi		SRX1383991	0	Illumina HiSeq 2500	PAIRED	cDNA		2015-10-26	1835	1284	[Candida] glabrata	ILLUMINA	2015-12-15	SRR2817432	SRS1134725	SRP065276	GSM1918923			C. glabrata RNA	SFY114		RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA299815	SAMN04216029		GEO	sra-sos	sra-sos.public	SRX1383992	0	Illumina HiSeq 2500	PAIRED	cDNA		2015-10-26	1780	1242	[Candida] glabrata	ILLUMINA	2015-12-15	SRR2817433	SRS1134724	SRP065276	GSM1918924			C. glabrata RNA	SFY114		RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA299815	SAMN04216030		GEO	ncbi		SRX1383993	0	Illumina HiSeq 2500	PAIRED	cDNA		2015-10-26	1829	1271	[Candida] glabrata	ILLUMINA	2015-12-15	SRR2817434	SRS1134723	SRP065276	GSM1918925			C. glabrata RNA	SFY114		RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA299815	SAMN04216031		GEO	sra-sos	sra-sos.public	SRX1383994	0	Illumina HiSeq 2500	PAIRED	cDNA		2015-10-26	1713	1196	[Candida] glabrata	ILLUMINA	2015-12-15	SRR2817435	SRS1134722	SRP065276	GSM1918926			C. glabrata RNA	SFY114		RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA299815	SAMN04216032		GEO	sra-sos	sra-sos.public	SRX1383995	0	Illumina HiSeq 2500	PAIRED	cDNA		2015-10-26	1641	1115	[Candida] glabrata	ILLUMINA	2015-12-15	SRR2817436	SRS1134721	SRP065276	GSM1918927			C. glabrata RNA	SFY114		RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA299815	SAMN04216033		GEO	sra-sos	sra-sos.public	SRX1383996	0	Illumina HiSeq 2500	PAIRED	cDNA		2015-10-26	1827	1241	[Candida] glabrata	ILLUMINA	2015-12-15	SRR2817437	SRS1134720	SRP065276	GSM1918928			C. glabrata RNA	SFY114		RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA299815	SAMN04216034		GEO	sra-sos	sra-sos.public	SRX1383997	0	Illumina HiSeq 2500	PAIRED	cDNA		2015-10-26	1663	1130	[Candida] glabrata	ILLUMINA	2015-12-15	SRR2817438	SRS1134719	SRP065276	GSM1918929			C. glabrata RNA	SFY114		RNA-Seq	public	sra	TRANSCRIPTOMIC
