Run	Assay_Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample_Name	SRA_Study	GEO_Accession_(exp)	BioSampleModel	collected_by	Collection_Date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Library_Name	source_name	Time	Isolation_source	Strain	Cell_type	host_disease	Host	lat_lon	Donor	stimulus	Condition	Replicate	SAMPLE_TYPE	Isolate	AssemblyName	dangling_references_(run)	Genotype	PHENOTYPE	drug_treatment	TREATMENT
SRR6900283	RNA-Seq	95	3217271705	PRJNA445471	SAMN08792312	2257235600	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849342	Illumina_HiSeq_2000	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B11210_V_2hr_1	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00021		2_hours	not_applicable	B11210							voriconazole	biological_replicate_1	whole_organism							
SRR6900285	RNA-Seq	187	2081356730	PRJNA445471	SAMN08792314	1347149086	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849340	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B11210_V_4hr_1	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00023		4_hours	not_applicable	B11210							voriconazole	biological_replicate_1	whole_organism							
SRR6900286	RNA-Seq	189	733398884	PRJNA445471	SAMN08792292	441779876	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849339	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B8441_A_2hr_1	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00001		2_hours	not_applicable	B8441							amphotericin_B	biological_replicate_1	whole_organism							
SRR6900287	RNA-Seq	100	3868916589	PRJNA445471	SAMN08792293	2704934302	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849338	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B8441_A_2hr_2	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00002		2_hours	not_applicable	B8441							amphotericin_B	biological_replicate_2	whole_organism							
SRR6900289	RNA-Seq	189	1581561104	PRJNA445471	SAMN08792295	966608862	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849336	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B8441_A_4hr_2	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00004		4_hours	not_applicable	B8441							amphotericin_B	biological_replicate_2	whole_organism							
SRR6900290	RNA-Seq	187	2022443450	PRJNA445471	SAMN08792296	1283796357	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849335	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B8441_N_2hr_1	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00005		2_hours	not_applicable	B8441							control	biological_replicate_1	whole_organism							
SRR6900292	RNA-Seq	187	3223688916	PRJNA445471	SAMN08792298	2062809521	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849333	Illumina_HiSeq_2000	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B8441_N_4hr_1	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00007		4_hours	not_applicable	B8441							control	biological_replicate_1	whole_organism							
SRR6900293	RNA-Seq	188	1127221796	PRJNA445471	SAMN08792299	706453465	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849332	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B8441_N_4hr_2	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00008		4_hours	not_applicable	B8441							control	biological_replicate_2	whole_organism							
SRR6900295	RNA-Seq	188	997649896	PRJNA445471	SAMN08792301	611325142	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849330	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B8441_V_2hr_2	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00010		2_hours	not_applicable	B8441							voriconazole	biological_replicate_2	whole_organism							
SRR6900297	RNA-Seq	190	3250495532	PRJNA445471	SAMN08792307	1980956622	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849328	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B11210_A_4hr_2	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00016		4_hours	not_applicable	B11210							amphotericin_B	biological_replicate_2	whole_organism							
SRR6900298	RNA-Seq	188	1198607792	PRJNA445471	SAMN08792308	757405418	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849327	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B11210_N_2hr_1	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00017		2_hours	not_applicable	B11210							control	biological_replicate_1	whole_organism							
