AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_provider	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	collection_date	flowcell_barcode	genotype_variation	geo_loc_name	host	instrument_name	isolate	isolation_source	lane	ph_condition	read_group_id	run_barcode	run_name	sample_type	source_name	strain	temp	Assay_Type	AssemblyName	Consent	DATASTORE_filetype	DATASTORE_region	LibrarySource	Platform	RNA_Isolation	RNA_Isolation_Method
152	PRJNA236199	SAMN02595196		BI	sra-sos	SRX465830	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-215238	2014-02-06	2311	1387	Candida tropicalis RNA_Ct2-2	2014-02-06	SRR1162690	SRS553702	SRP036650	RNA_Ct2-2	2013	H7CM1ADXX			no_host	SL-HBV			2		H7CM1.2	H7CM1ADXX140131	140131_SL-HBV_0307_BFCH7CM1ADXX			RNA_Ct2-2		RNA-Seq	assembly	public	sra	sra-sos.public	TRANSCRIPTOMIC	ILLUMINA	missing	missing
152	PRJNA236197	SAMN02595194		BI	sra-sos	SRX465832	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-215236	2014-02-06	2399	1454	Candida tropicalis RNA_Ct1-2	2014-02-06	SRR1162693	SRS553703	SRP036651	RNA_Ct1-2	2013	H7CM1ADXX			no_host	SL-HBV			2		H7CM1.2	H7CM1ADXX140131	140131_SL-HBV_0307_BFCH7CM1ADXX			RNA_Ct1-2		RNA-Seq	assembly	public	sra	sra-sos.public	TRANSCRIPTOMIC	ILLUMINA	missing	missing
152	PRJNA236200	SAMN02595197		BI	sra-sos	SRX465840	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-215239	2014-02-06	2480	1494	Candida tropicalis RNA_Ct3-1	2014-02-06	SRR1162703	SRS553710	SRP036658	RNA_Ct3-1	2013	H7CM1ADXX			no_host	SL-HBV			1		H7CM1.1	H7CM1ADXX140131	140131_SL-HBV_0307_BFCH7CM1ADXX			RNA_Ct3-1		RNA-Seq	assembly	public	sra	sra-sos.public	TRANSCRIPTOMIC	ILLUMINA	missing	missing
152	PRJNA236198	SAMN02595195		BI	sra-sos	SRX465849	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-215237	2014-02-06	2214	1332	Candida tropicalis RNA_Ct2-1	2014-02-06	SRR1162712	SRS553719	SRP036667	RNA_Ct2-1	2013	H7CM1ADXX			no_host	SL-HBV			2		H7CM1.2	H7CM1ADXX140131	140131_SL-HBV_0307_BFCH7CM1ADXX			RNA_Ct2-1		RNA-Seq	assembly	public	sra	sra-sos.public	TRANSCRIPTOMIC	ILLUMINA	missing	missing
152	PRJNA236197	SAMN02595194		BI	sra-sos	SRX465832	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-215236	2014-02-06	2421	1468	Candida tropicalis RNA_Ct1-2	2014-02-06	SRR1162714	SRS553703	SRP036651	RNA_Ct1-2	2013	H7CM1ADXX			no_host	SL-HBV			1		H7CM1.1	H7CM1ADXX140131	140131_SL-HBV_0307_BFCH7CM1ADXX			RNA_Ct1-2		RNA-Seq	assembly	public	sra	sra-sos.public	TRANSCRIPTOMIC	ILLUMINA	missing	missing
152	PRJNA236201	SAMN02595198		BI	sra-sos	SRX465860	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-215227	2014-02-06	1906	1158	Candida tropicalis RNA_Ct3-2	2014-02-06	SRR1162729	SRS553729	SRP036677	RNA_Ct3-2	2013	H7CM1ADXX			no_host	SL-HBV			1		H7CM1.1	H7CM1ADXX140131	140131_SL-HBV_0307_BFCH7CM1ADXX			RNA_Ct3-2		RNA-Seq	assembly	public	sra	sra-sos.public	TRANSCRIPTOMIC	ILLUMINA	missing	missing
152	PRJNA236196	SAMN02595193		BI	sra-sos	SRX465864	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-215235	2014-02-06	2436	1474	Candida tropicalis RNA_Ct1-1	2014-02-06	SRR1162735	SRS553732	SRP036680	RNA_Ct1-1	2013	H7CM1ADXX				SL-HBV			2		H7CM1.2	H7CM1ADXX140131	140131_SL-HBV_0307_BFCH7CM1ADXX					RNA-Seq	assembly	public	sra	sra-sos.public	TRANSCRIPTOMIC	ILLUMINA	missing	missing
152	PRJNA236199	SAMN02595196		BI	sra-sos	SRX465830	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-215238	2014-02-06	2327	1396	Candida tropicalis RNA_Ct2-2	2014-02-06	SRR1162742	SRS553702	SRP036650	RNA_Ct2-2	2013	H7CM1ADXX			no_host	SL-HBV			1		H7CM1.1	H7CM1ADXX140131	140131_SL-HBV_0307_BFCH7CM1ADXX			RNA_Ct2-2		RNA-Seq	assembly	public	sra	sra-sos.public	TRANSCRIPTOMIC	ILLUMINA	missing	missing
152	PRJNA236200	SAMN02595197		BI	sra-sos	SRX465840	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-215239	2014-02-06	2454	1478	Candida tropicalis RNA_Ct3-1	2014-02-06	SRR1162757	SRS553710	SRP036658	RNA_Ct3-1	2013	H7CM1ADXX			no_host	SL-HBV			2		H7CM1.2	H7CM1ADXX140131	140131_SL-HBV_0307_BFCH7CM1ADXX			RNA_Ct3-1		RNA-Seq	assembly	public	sra	sra-sos.public	TRANSCRIPTOMIC	ILLUMINA	missing	missing
152	PRJNA236201	SAMN02595198		BI	sra-sos	SRX465860	150	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-215227	2014-02-06	1892	1149	Candida tropicalis RNA_Ct3-2	2014-02-06	SRR1162761	SRS553729	SRP036677	RNA_Ct3-2	2013	H7CM1ADXX			no_host	SL-HBV			2		H7CM1.2	H7CM1ADXX140131	140131_SL-HBV_0307_BFCH7CM1ADXX			RNA_Ct3-2		RNA-Seq	assembly	public	sra	sra-sos.public	TRANSCRIPTOMIC	ILLUMINA	missing	missing
