Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	ENA_FIRST_PUBLIC	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	analysis_type	flowcell_barcode	genotype	gssr_id	instrument_name	lane	lsid	product_order	product_part_number	project	read_group_id	research_project	root_sample_id	run_barcode	run_name	sample_id	source_name	strain	work_request	Consent	LibrarySource
RNA-Seq		36	PRJNA123555	SAMN00005081	GEO	sra	sra-sos	sra-sos.public		SRX012938	0	Illumina Genome Analyzer	SINGLE	size fractionation	smallRNA-C.albicans-WT	2014-05-26	114	90	Candida albicans	ILLUMINA	2009-12-08	SRR030142	SRS007172	SRP001412	GSM447746																	log-phase liquid culture, WT	Can14		public	TRANSCRIPTOMIC
RNA-Seq		76	PRJNA152861	SAMN00777109	GEO	sra	sra-sos	sra-sos.public		SRX116682	0	Illumina Genome Analyzer IIx	SINGLE	cDNA	GSM864302: Total RNA from Candida albicans wild-type strain (SC5314) yeast cells Replicate 1	2012-08-11	1171	757	Candida albicans	ILLUMINA	2014-06-30	SRR400661	SRS289827	SRP010426	GSM864302																	Yeast cells, wild-type	SC5314		public	TRANSCRIPTOMIC
RNA-Seq		76	PRJNA152861	SAMN00777110	GEO	sra	sra-sos	sra-sos.public		SRX116683	0	Illumina Genome Analyzer IIx	SINGLE	cDNA	GSM864303: Total RNA from Candida albicans wild-type strain (SC5314) yeast cells Replicate 2	2012-08-11	1258	826	Candida albicans	ILLUMINA	2014-06-30	SRR400662	SRS289828	SRP010426	GSM864303																	Yeast cells, wild-type	SC5314		public	TRANSCRIPTOMIC
RNA-Seq		76	PRJNA152861	SAMN00777111	GEO	sra	sra-sos	sra-sos.public		SRX116684	0	Illumina Genome Analyzer IIx	SINGLE	cDNA	GSM864304: Total RNA from Candida albicans wild-type strain (SC5314) yeast cells Replicate 3	2012-08-11	1221	795	Candida albicans	ILLUMINA	2014-06-30	SRR400663	SRS289829	SRP010426	GSM864304																	Yeast cells, wild-type	SC5314		public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00792955	UMIGS	sra	sra-sos	sra-sos.public		SRX123448	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100015288	2012-08-11	7632	5389	Candida albicans SC5314	ILLUMINA	2012-02-28	SRR419386	SRS295574	SRP011085	CAHS_11																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00792957	UMIGS	sra	sra-sos	sra-sos.public		SRX123450	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100015289	2012-08-11	7796	5690	Candida albicans SC5314	ILLUMINA	2012-02-29	SRR419388	SRS295576	SRP011085	CAHS_13																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00792960	UMIGS	sra	sra-sos	sra-sos.public		SRX123453	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100015290	2012-08-11	8484	6138	Candida albicans WO-1	ILLUMINA	2012-02-29	SRR419391	SRS295579	SRP011085	CAHS_15																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00792961	UMIGS	sra	sra-sos	sra-sos.public		SRX123582	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100015291	2012-08-11	8721	6361	Candida albicans WO-1	ILLUMINA	2012-02-29	SRR419517	SRS295580	SRP011085	CAHS_17																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00792964	UMIGS	sra	ncbi			SRX123585	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100015292	2012-08-11	7781	5682	Candida albicans WO-1	ILLUMINA	2012-02-29	SRR419541	SRS295583	SRP011085	CAHS_20																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00792966	UMIGS	sra	sra-sos	sra-sos.public		SRX123587	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100015293	2012-08-11	7622	5567	Candida albicans WO-1	ILLUMINA	2012-02-29	SRR419543	SRS295585	SRP011085	CAHS_22																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00792968	UMIGS	sra	ncbi			SRX123589	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100015294	2012-08-11	7980	5849	Candida albicans WO-1	ILLUMINA	2012-02-29	SRR419545	SRS295587	SRP011085	CAHS_24																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00792979	UMIGS	sra	ncbi			SRX123781	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100015295	2012-08-11	7140	5081	Candida albicans WO-1	ILLUMINA	2012-02-28	SRR420189	SRS295598	SRP011085	CAHS_27																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00792980	UMIGS	sra	ncbi			SRX123789	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100018305	2012-08-11	8683	6068	Candida albicans SC5314	ILLUMINA	2012-02-28	SRR420197	SRS295599	SRP011085	CAHS_29																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00792988	UMIGS	sra	sra-sos	sra-sos.public		SRX123784	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100018306	2012-08-11	8041	5606	Candida albicans SC5314	ILLUMINA	2012-02-28	SRR420192	SRS295602	SRP011085	CAHS_31																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00792992	UMIGS	sra	sra-sos	sra-sos.public		SRX123788	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100018307	2012-08-11	7049	4935	Candida albicans SC5314	ILLUMINA	2012-02-28	SRR420196	SRS295606	SRP011085	CAHS_34																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00792993	UMIGS	sra	sra-sos	sra-sos.public		SRX123790	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100018308	2012-08-11	7487	5215	Candida albicans SC5314	ILLUMINA	2012-02-28	SRR420198	SRS295607	SRP011085	CAHS_36																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00792995	UMIGS	sra	sra-sos	sra-sos.public		SRX123792	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100018309	2012-08-11	7745	5375	Candida albicans SC5314	ILLUMINA	2012-02-28	SRR420200	SRS295609	SRP011085	CAHS_38																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00792995	UMIGS	sra	sra-sos	sra-sos.public		SRX131932	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100018892	2012-08-11	1927	1320	Candida albicans SC5314	ILLUMINA	2012-03-27	SRR449307	SRS295609	SRP011085	CAHS_38																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00793080	UMIGS	sra	sra-sos	sra-sos.public		SRX124478	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100018310	2012-08-11	8901	6182	Candida albicans SC5314	ILLUMINA	2012-02-29	SRR423934	SRS295694	SRP011085	CAHS_41																				public	TRANSCRIPTOMIC
